摄像头编号 笼子编号 时段 变化点数
ch02 1-1 0 93151.0
ch02 2-2 0 130277.0
ch02 2-1 0 116468.0
ch02 1-2 0 108582.0
ch01 1-2 18 69939.0
ch01 2-1 18 90013.0
ch01 2-2 18 67776.0
ch01 1-1 18 105840.0
ch01 1-2 18 89044.0
ch01 2-1 18 53438.0
ch01 2-2 18 69943.0
ch01 1-2 20 98617.0
ch01 1-1 19 136982.0
ch01 1-2 19 102011.0
ch01 2-1 19 82335.0
ch01 2-2 19 80447.0
ch01 1-1 19 114960.0
ch01 1-2 19 89223.0
ch01 2-1 19 110957.0
ch01 2-2 19 94422.0
ch01 1-1 18 88409.0
ch01 2-2 15 13427.0
ch01 2-2 15 168233.0
ch01 1-1 15 6377.0
ch01 1-1 14 291578.0
ch01 1-2 14 219349.0
ch01 2-1 14 280883.0
ch01 2-2 14 200778.0
ch01 1-1 14 79498.0
ch01 1-2 14 59869.0
ch01 2-1 14 96828.0
ch01 1-2 15 2131.0
ch01 2-2 14 29883.0
ch01 1-2 14 82736.0
ch01 2-1 14 106430.0
ch01 2-2 14 95295.0
ch01 1-1 15 147227.0
ch01 1-2 15 125364.0
ch01 2-1 15 153706.0
ch01 1-1 20 121299.0
ch01 1-1 14 107554.0
ch01 1-2 20 100023.0
ch01 2-2 20 82150.0
ch01 2-2 13 149451.0
ch01 1-2 22 116141.0
ch01 2-1 22 160620.0
ch01 2-2 22 140410.0
ch01 1-1 22 148835.0
ch01 1-2 22 132334.0
ch01 2-1 22 151705.0
ch01 2-2 22 136577.0
ch01 1-1 23 177479.0
ch01 1-2 23 113110.0
ch01 2-1 23 161139.0
ch01 2-2 23 102281.0
ch01 1-1 23 171224.0
ch01 1-2 23 105757.0
ch01 2-1 23 165677.0
ch01 2-2 23 108938.0
ch01 1-1 22 156624.0
ch01 2-2 22 133782.0
ch01 2-1 22 172130.0
ch01 1-2 22 115498.0
ch01 1-1 20 101425.0
ch01 2-1 20 50076.0
ch01 2-2 20 66995.0
ch01 1-1 20 155831.0
ch01 1-2 20 123639.0
ch01 2-1 20 145673.0
ch01 2-2 20 126283.0
ch01 2-1 20 87716.0
ch01 1-1 21 153812.0
ch01 2-1 21 201244.0
ch01 2-2 21 137383.0
ch01 1-1 21 145982.0
ch01 1-2 21 121037.0
ch01 2-1 21 158303.0
ch01 2-2 21 131357.0
ch01 1-1 22 136257.0
ch01 1-2 21 118792.0
ch01 2-1 13 267226.0
ch01 2-1 15 1683.0
ch01 1-1 13 241293.0
ch01 2-1 6 132061.0
ch01 2-2 6 84108.0
ch01 1-1 6 136376.0
ch01 1-2 6 145391.0
ch01 2-1 6 143633.0
ch01 2-2 6 112977.0
ch01 1-1 7 147612.0
ch01 1-2 6 124037.0
ch01 1-2 7 124163.0
ch01 2-2 7 116993.0
ch01 1-1 7 149019.0
ch01 1-2 7 146869.0
ch01 2-1 7 130010.0
ch01 2-2 7 103978.0
ch01 1-1 7 138689.0
ch01 1-2 7 104321.0
ch01 2-1 7 130617.0
ch01 1-2 13 188526.0
ch01 2-2 5 86202.0
ch01 2-1 5 135670.0
ch01 1-1 4 158651.0
ch01 1-2 4 135980.0
ch01 2-1 4 121139.0
ch01 2-2 4 89711.0
ch01 1-1 4 149588.0
ch01 1-2 4 120373.0
ch01 2-1 4 128142.0
ch01 2-2 4 75352.0
ch01 1-1 5 182410.0
ch01 1-2 5 144915.0
ch01 2-1 5 106687.0
ch01 2-2 5 92613.0
ch01 1-1 5 150582.0
ch01 2-1 5 126847.0
ch01 2-2 5 101481.0
ch01 1-1 5 140012.0
ch01 1-2 5 130471.0
ch01 2-1 7 117142.0
ch01 2-2 7 102375.0
ch01 1-1 6 151062.0
ch01 1-2 8 126002.0
ch01 1-1 12 90697.0
ch01 1-2 12 76138.0
ch01 2-1 12 85978.0
ch01 2-2 12 43752.0
ch01 1-1 12 126519.0
ch01 2-1 12 128939.0
ch01 2-2 12 127637.0
ch01 2-2 11 33378.0
ch01 1-1 12 154718.0
ch01 2-1 12 167445.0
ch01 2-2 12 110115.0
ch01 1-1 13 303046.0
ch01 1-2 13 270969.0
ch01 2-1 13 273583.0
ch01 2-2 13 275032.0
ch01 1-1 8 142241.0
ch01 1-2 12 145278.0
ch01 2-1 11 27594.0
ch01 1-2 12 141209.0
ch01 2-2 8 122208.0
ch01 2-1 8 136508.0
ch01 1-2 11 34095.0
ch01 1-1 8 142735.0
ch01 1-2 8 130826.0
ch01 2-1 8 136895.0
ch01 2-2 8 100094.0
ch01 1-2 9 94743.0
ch01 2-1 9 119502.0
ch01 1-1 9 112007.0
ch01 2-1 11 143687.0
ch01 1-1 10 189314.0
ch01 1-2 10 148140.0
ch01 2-1 10 155359.0
ch01 2-2 10 91690.0
ch01 1-2 11 129852.0
ch01 2-2 9 100143.0
ch01 2-2 11 128215.0
ch01 2-1 15 107615.0
ch01 1-2 15 101732.0
ch01 1-1 15 134436.0
ch01 1-1 15 120418.0
ch01 2-1 15 139295.0
ch01 2-2 15 101865.0
ch01 1-2 15 114993.0
ch01 2-2 15 111664.0
ch01 1-1 16 78620.0
ch01 1-1 17 101434.0
ch01 2-1 16 68579.0
ch01 2-2 16 109050.0
ch01 1-1 16 106791.0
ch01 1-2 16 97324.0
ch01 2-1 16 116180.0
ch01 1-2 17 92142.0
ch01 2-2 16 108208.0
ch01 2-2 14 53993.0
ch01 1-2 16 91912.0
ch01 2-1 14 59280.0
ch01 2-1 11 86953.0
ch01 1-1 14 35921.0
ch01 1-1 11 71009.0
ch01 2-1 17 100793.0
ch01 1-2 11 58692.0
ch01 2-2 11 46585.0
ch01 1-1 12 76317.0
ch01 1-2 12 76260.0
ch01 2-1 12 89128.0
ch01 2-2 12 80260.0
ch01 1-1 12 89275.0
ch01 1-2 12 76159.0
ch01 2-1 12 92759.0
ch01 1-1 14 130191.0
ch01 1-2 14 135907.0
ch01 2-1 14 142763.0
ch01 2-2 14 92430.0
ch01 1-1 14 87819.0
ch01 1-2 14 86513.0
ch01 2-1 14 101767.0
ch01 2-2 14 81631.0
ch01 1-2 14 44963.0
ch01 2-2 17 112626.0
ch01 2-2 12 62195.0
ch01 1-2 17 99130.0
ch01 1-2 21 94485.0
ch01 2-1 21 83323.0
ch01 1-1 22 97328.0
ch01 1-2 22 70863.0
ch01 2-1 22 93732.0
ch01 1-1 22 81229.0
