摄像头编号  摄像日期    摄像时间    笼号  变化点数    帧数  视频时间长度
ch01 20180119 011848 2-2 117093 33890 1412.083333
ch01 20180119 020552 2-2 141942 33890 1412.083333
ch01 20180114 040205 1-1 158651 33890 1412.083333
ch01 20180114 040205 1-2 135980 33890 1412.083333
ch01 20180114 040205 2-1 121139 33890 1412.083333
ch01 20180114 040205 2-2 89711 33890 1412.083333
ch01 20180114 042538 1-1 149588 33890 1412.083333
ch01 20180114 042538 1-2 120373 33890 1412.083333
ch01 20180114 042538 2-1 128142 33890 1412.083333
ch01 20180114 042538 2-2 75352 33890 1412.083333
ch01 20180114 044909 1-1 182410 33890 1412.083333
ch01 20180114 044909 1-2 144915 33890 1412.083333
ch01 20180114 044909 2-1 106687 33890 1412.083333
ch01 20180114 044909 2-2 92613 33890 1412.083333
ch01 20180114 051242 1-1 150582 33890 1412.083333
ch01 20180114 051242 2-1 126847 33890 1412.083333
ch01 20180114 051242 2-2 101481 33890 1412.083333
ch01 20180114 053613 1-1 140012 33890 1412.083333
ch01 20180114 053613 1-2 130471 33890 1412.083333
ch01 20180114 053613 2-1 135670 33890 1412.083333
ch01 20180114 053613 2-2 86202 33890 1412.083333
ch01 20180114 055946 1-1 151062 33890 1412.083333
ch01 20180114 055946 1-2 124037 33890 1412.083333
ch01 20180114 055946 2-1 132061 33890 1412.083333
ch01 20180114 055946 2-2 84108 33890 1412.083333
ch01 20180114 062318 1-1 136376 33890 1412.083333
ch01 20180114 062318 1-2 145391 33890 1412.083333
ch01 20180114 062318 2-1 143633 33890 1412.083333
ch01 20180114 062318 2-2 112977 33890 1412.083333
ch01 20180114 064650 1-1 147612 33890 1412.083333
ch01 20180114 064650 1-2 124163 33890 1412.083333
ch01 20180114 064650 2-1 130617 33890 1412.083333
ch01 20180114 064650 2-2 116993 33890 1412.083333
ch01 20180114 071022 1-1 149019 33890 1412.083333
ch01 20180114 071022 1-2 146869 33890 1412.083333
ch01 20180114 071022 2-1 130010 33890 1412.083333
ch01 20180114 071022 2-2 103978 33890 1412.083333
ch01 20180114 073354 1-1 138689 33890 1412.083333
ch01 20180114 073354 1-2 104321 33890 1412.083333
ch01 20180114 073354 2-1 117142 33890 1412.083333
ch01 20180114 073354 2-2 102375 33890 1412.083333
ch01 20180114 075726 1-1 142241 33890 1412.083333
ch01 20180114 075726 1-2 126002 33890 1412.083333
ch01 20180114 075726 2-1 136508 33890 1412.083333
ch01 20180114 075726 2-2 122208 33890 1412.083333
ch01 20180114 082058 1-1 142735 33890 1412.083333
ch01 20180114 082058 1-2 130826 33890 1412.083333
ch01 20180114 082058 2-1 136895 33890 1412.083333
ch01 20180114 082058 2-2 100094 33890 1412.083333
ch01 20180114 093133 1-1 112007 33890 1412.083333
ch01 20180114 093133 1-2 94743 33890 1412.083333
ch01 20180114 093133 2-1 119502 33890 1412.083333
ch01 20180114 093133 2-2 100143 33890 1412.083333
ch01 20180114 095505 1-1 189314 33890 1412.083333
ch01 20180114 095505 1-2 148140 33890 1412.083333
ch01 20180114 095505 2-1 155359 33890 1412.083333
ch01 20180114 095505 2-2 91690 33890 1412.083333
ch01 20180114 104209 1-2 129852 33890 1412.083333
ch01 20180114 104209 2-1 143687 33890 1412.083333
ch01 20180114 104209 2-2 128215 33890 1412.083333
ch01 20180114 112914 1-2 34095 33890 1412.083333
ch01 20180114 112914 2-1 27594 33890 1412.083333
ch01 20180114 112914 2-2 33378 33890 1412.083333
ch01 20180114 115246 1-1 90697 33890 1412.083333
ch01 20180114 115246 1-2 76138 33890 1412.083333
ch01 20180114 115246 2-1 85978 33890 1412.083333
ch01 20180114 115246 2-2 43752 33890 1412.083333
ch01 20180114 121618 1-1 126519 33890 1412.083333
ch01 20180114 121618 1-2 141209 33890 1412.083333
ch01 20180114 121618 2-1 128939 33890 1412.083333
ch01 20180114 121618 2-2 127637 33890 1412.083333
ch01 20180114 123950 1-1 154718 33890 1412.083333
ch01 20180114 123950 1-2 145278 33890 1412.083333
ch01 20180114 123950 2-1 167445 33890 1412.083333
ch01 20180114 123950 2-2 110115 33890 1412.083333
ch01 20180114 130322 1-1 303046 33890 1412.083333
ch01 20180114 130322 1-2 270969 33890 1412.083333
ch01 20180114 130322 2-1 273583 33890 1412.083333
ch01 20180114 130322 2-2 275032 33890 1412.083333
ch01 20180114 132654 1-1 241293 33890 1412.083333
ch01 20180114 132654 1-2 188526 33890 1412.083333
ch01 20180114 132654 2-1 267226 33890 1412.083333
ch01 20180114 132654 2-2 149451 33890 1412.083333
ch01 20180114 135026 1-1 291578 33890 1412.083333
ch01 20180114 135026 1-2 219349 33890 1412.083333
ch01 20180114 135026 2-1 280883 33890 1412.083333
ch01 20180114 135026 2-2 200778 33890 1412.083333
ch01 20180114 141358 1-1 79498 33890 1412.083333
ch01 20180114 141358 1-2 59869 33890 1412.083333
ch01 20180114 141358 2-1 96828 33890 1412.083333
ch01 20180114 141358 2-2 29883 33890 1412.083333
ch01 20180114 143731 1-1 107554 33890 1412.083333
ch01 20180114 143731 1-2 82736 33890 1412.083333
ch01 20180114 143731 2-1 106430 33890 1412.083333
ch01 20180114 143731 2-2 95295 33890 1412.083333
ch01 20180114 150102 1-1 147227 33890 1412.083333
ch01 20180114 150102 1-2 125364 33890 1412.083333
ch01 20180114 150102 2-1 153706 33890 1412.083333
ch01 20180114 150102 2-2 168233 33890 1412.083333
ch01 20180114 152434 1-1 6377 33890 1412.083333
ch01 20180114 152434 1-2 2131 33890 1412.083333
ch01 20180114 152434 2-1 1683 33890 1412.083333
ch01 20180114 152434 2-2 13427 33890 1412.083333
ch01 20180114 180919 1-1 88409 33890 1412.083333
ch01 20180114 180919 1-2 69939 33890 1412.083333
ch01 20180114 180919 2-1 90013 33890 1412.083333
ch01 20180114 180919 2-2 67776 33890 1412.083333
ch01 20180114 183250 1-1 105840 33890 1412.083333
ch01 20180114 183250 1-2 89044 33890 1412.083333
ch01 20180114 183250 2-1 53438 33890 1412.083333
ch01 20180114 183250 2-2 69943 33890 1412.083333
ch01 20180114 185623 1-1 136982 33890 1412.083333
ch01 20180114 185623 1-2 102011 33890 1412.083333
ch01 20180114 185623 2-1 82335 33890 1412.083333
ch01 20180114 185623 2-2 80447 33890 1412.083333
ch01 20180114 191954 1-1 114960 33890 1412.083333
ch01 20180114 191954 1-2 89223 33890 1412.083333
ch01 20180114 191954 2-1 110957 33890 1412.083333
ch01 20180114 191954 2-2 94422 33890 1412.083333
ch01 20180114 194327 1-1 121299 33890 1412.083333
ch01 20180114 194327 1-2 100023 33890 1412.083333
ch01 20180114 194327 2-1 87716 33890 1412.083333
ch01 20180114 194327 2-2 82150 33890 1412.083333
ch01 20180114 200659 1-1 101425 33890 1412.083333
ch01 20180114 200659 1-2 98617 33890 1412.083333
ch01 20180114 200659 2-1 50076 33890 1412.083333
ch01 20180114 200659 2-2 66995 33890 1412.083333
ch01 20180114 203030 1-1 155831 33890 1412.083333
ch01 20180114 203030 1-2 123639 33890 1412.083333
ch01 20180114 203030 2-1 145673 33890 1412.083333
ch01 20180114 203030 2-2 126283 33890 1412.083333
ch01 20180114 205403 1-1 153812 33890 1412.083333
ch01 20180114 205403 1-2 118792 33890 1412.083333
ch01 20180114 205403 2-1 201244 33890 1412.083333
ch01 20180114 205403 2-2 137383 33890 1412.083333
ch01 20180114 211734 1-1 145982 33890 1412.083333
ch01 20180114 211734 1-2 121037 33890 1412.083333
ch01 20180114 211734 2-1 158303 33890 1412.083333
ch01 20180114 211734 2-2 131357 33890 1412.083333
ch01 20180114 214107 1-1 136257 33890 1412.083333
ch01 20180114 214107 1-2 115498 33890 1412.083333
ch01 20180114 214107 2-1 172130 33890 1412.083333
ch01 20180114 214107 2-2 133782 33890 1412.083333
ch01 20180114 220438 1-1 156624 33890 1412.083333
ch01 20180114 220438 1-2 116141 33890 1412.083333
ch01 20180114 220438 2-1 160620 33890 1412.083333
ch01 20180114 220438 2-2 140410 33890 1412.083333
ch01 20180114 222810 1-1 148835 33890 1412.083333
ch01 20180114 222810 1-2 132334 33890 1412.083333
ch01 20180114 222810 2-1 151705 33890 1412.083333
ch01 20180114 222810 2-2 136577 33890 1412.083333
ch01 20180114 225143 1-1 152571 33890 1412.083333
ch01 20180114 225143 1-2 106185 33890 1412.083333
ch01 20180114 225143 2-1 161331 33890 1412.083333
ch01 20180114 225143 2-2 114904 33890 1412.083333
ch01 20180114 231514 1-1 177479 33890 1412.083333
ch01 20180114 231514 1-2 113110 33890 1412.083333
ch01 20180114 231514 2-1 161139 33890 1412.083333
ch01 20180114 231514 2-2 102281 33890 1412.083333
ch01 20180114 233847 1-1 171224 33890 1412.083333
